statename,state,Year,population,density,citi_1,nominate_dim1,Incumbent_D,Incumbent_R,PD,PR,South_ext,counter,favsonD,stategdp,stategdp_percap,counter2,spline,uni_dem,Tashijan
Pennsylvania,38,1988,11863895,265.2,63.52940369,0.32108334,0,0,1,1,0,5,0,2.03E+11,17103.18576,20,-4938.6665,0,1
Rhode Island,39,1988,947154,916.2,79.1229248,0.34349999,0,0,1,1,0,5,0,17890600000,18888.79739,20,-4938.6665,0,1
South Carolina,40,1988,3121820,103.9,46.08826447,0.18380001,0,0,0,0,1,5,1,52688400000,16877.46251,20,-4938.6665,0,1
South Dakota,41,1988,690768,9.1,60.74427795,0.27649999,0,0,1,1,0,5,0,10669300000,15445.56204,20,-4938.6665,0,1
Tennessee,42,1988,4591120,111.3,48.74940872,0.24688889,0,0,1,1,1,0,1,80715000000,17580.67748,0,0,1,1
Texas,43,1988,14229191,54.5,39.6860199,0.25916666,0,0,1,1,1,0,0,3.01E+11,21130.30179,0,0,0,1
Utah,44,1988,1461037,17.8,37.89061356,0.25299999,0,0,0,0,0,5,0,25100000000,17179.57861,20,-4938.6665,0,1
Vermont,45,1988,511456,55.5,78.28534698,0.37,0,0,1,1,0,5,0,9156600000,17903.00632,20,-4938.6665,1,1
Virginia,46,1988,5346818,135.4,39.80485535,0.107,0,0,1,1,1,5,0,1.18E+11,21994.91361,20,-4938.6665,1,1
Washington,47,1988,4132156,62.2,64.70868683,0.37150002,0,0,0,0,0,5,0,90325300000,21859.12149,20,-4938.6665,1,1
West Virginia,48,1988,1949644,81.1,63.16844177,0.31133333,0,0,1,1,1,5,0,23425400000,12015.21919,20,-4938.6665,0,1
Wisconsin,49,1988,4705767,86.9,51.16662598,0.42516667,0,0,1,1,0,0,0,82013100000,17428.21096,0,0,0,1
Wyoming,50,1988,469557,4.8,30.01879501,0.34849998,0,0,0,0,0,5,0,10369600000,22083.79387,20,-4938.6665,0,1
Alabama,1,1992,4040587,79.8,39.80907822,0.10528571,0,1,1,1,1,1,0,76043300000,18819.86454,4,-53.333332,0,1
Alaska,2,1992,550043,1,48.72006226,0.28400001,0,1,0,0,0,6,0,22282500000,40510.46918,24,-7424,0,1
